"UP 2210"
"Version"	"1.61"	"1.61"
"Serialnumber:"	26001551
"Main comment"	"Measure 1"
"Start:"	"2010-09-10"	"09:10:00"
"End:"	"2010-09-20"	"08:50:00"
"Storage interval:"	"0:10:00"



"Channel/Method"	"Comment"	"Range"	"Min"	"Max"
"U1  [V] Voltage"	""	""	118.101	143.246
"U2  [V] Voltage"	""	""	114.933	139.946
"U3  [V] Voltage"	""	""	116.616	140.540
"I5  [A] Current"	""	""	44.218	163.577
"I6  [A] Current"	""	""	27.624	165.652
"I7  [A] Current"	""	""	52.420	184.791
"S1-5  [VA] 1-Wattmeter"	""	""	5740.000	20440.000
"S2-6  [VA] 1-Wattmeter"	""	""	3360.000	19926.700
"S3-7  [VA] 1-Wattmeter"	""	""	6440.000	23240.000
"S1-7  [VA] 3-Wattmeter"	""	""	18340.000	61880.000
"PF1-5  [] 1-Wattmeter"	""	""	0.916	1.038
"PF2-6  [] 1-Wattmeter"	""	""	0.847	1.008
"PF3-7  [] 1-Wattmeter"	""	""	0.904	1.031
"PF1-7  [] 3-Wattmeter"	""		"	0.914	1.031
"Wp1-7  [Wh] Energy"	"10"	""	2963.330	9986.660




Date	Time	"U1  [V]"	"U2  [V]"	"U3  [V]"	"I5  [A]"	"I6  [A]"	"I7  [A]"	"S1-5  [VA]"	"S2-6  [VA]"	"S3-7  [VA]"	"S1-7  [VA]"	"PF1-5  []"	"PF2-6  []"	"PF3-7  []"	"PF1-7  []"	"Wp1-7  [Wh]"	
"10/09/2010"	"09:20:00"	128.495	125.097	126.483	90.698	29.793	77.876	11620.000	3733.330	9800.000	25060.000	1.038	1.008	1.031	1.031	4106.670	
"10/09/2010"	"09:30:00"	128.198	124.767	126.153	88.813	32.150	71.465	11386.700	4013.330	8960.000	24360.000	0.982	0.950	0.974	0.974	3943.330	
"10/09/2010"	"09:40:00"	128.132	124.800	126.153	83.439	36.487	73.539	10640.000	4526.670	9240.000	24360.000	0.976	0.922	0.959	0.960	3896.670	
"10/09/2010"	"09:50:00"	126.780	123.315	124.767	79.667	37.995	67.976	10033.300	4666.670	8446.660	23240.000	0.976	0.910	0.955	0.955	3686.670	
"10/09/2010"	"10:00:00"	125.790	122.424	123.975	75.802	32.621	66.939	9520.000	4013.330	8306.660	21840.000	0.983	0.944	0.965	0.969	3523.330	
"10/09/2010"	"10:10:00"	126.186	122.721	124.338	65.808	31.396	71.559	8260.000	3873.330	8866.660	21000.000	0.984	0.932	0.960	0.964	3383.330	
"10/09/2010"	"10:20:00"	126.318	122.820	124.437	63.357	28.001	65.337	7980.000	3453.330	8120.000	19600.000	0.980	0.940	0.956	0.963	3150.000	
"10/09/2010"	"10:30:00"	126.944	123.381	124.932	65.054	29.416	66.939	8166.660	3593.330	8353.330	20160.000	0.971	0.919	0.944	0.950	3173.330	
"10/09/2010"	"10:40:00"	126.977	123.381	124.998	63.451	31.018	59.303	8026.660	3826.670	7420.000	19180.000	0.977	0.911	0.953	0.955	3056.670	
"10/09/2010"	"10:50:00"	126.417	122.787	124.305	68.071	28.850	59.868	8540.000	3546.670	7420.000	19460.000	0.971	0.930	0.961	0.960	3126.670	
